Time [s],Value,Parity Error,Framing Error
0.830371200000000,\x15,,
0.844932800000000,\x06,,
0.860896480000000,\x06,,
0.876974560000000,\x06,,
0.892958560000000,\x06,,
0.908836000000000,\x06,,
0.924839680000000,\x06,,
0.941254720000000,\x06,,
0.956843040000000,\x06,,
0.972827680000000,\x06,,
0.988833920000000,\x06,,
1.004835840000000,\x06,,
1.020826880000000,\x06,,
1.036840320000000,\x06,,
1.052744640000000,\x06,,
1.068701440000000,\x06,,
1.084692000000000,\x06,,
1.100656960000000,\x06,,
1.116667680000000,\x06,,
1.132679840000000,\x06,,
1.148743040000000,\x06,,
1.164616160000000,\x06,,
1.180558720000000,\x06,,
1.196648480000000,\x06,,
1.212581120000000,\x06,,
1.228516160000000,\x06,,
1.244507040000000,\x06,,
1.260332000000000,\x06,,
1.276344960000000,\x06,,
1.292324320000000,\x06,,
1.308287360000000,\x06,,
1.324284800000000,\x06,,
2.328936160000000,\x06,,
