Time [s],Value,Parity Error,Framing Error
0.833014560000000,0x01,,
0.833101440000000,0x01,,
0.833188160000000,0xFE,,
0.833275040000000,0x58,,
0.833361760000000,0x4D,,
0.833448640000000,0x6F,,
0.833535200000000,0x64,,
0.833621920000000,0x65,,
0.833708640000000,0x6D,,
0.833795360000000,0x20,,
0.833881920000000,0x50,,
0.833968640000000,0x72,,
0.834055360000000,0x6F,,
0.834141920000000,0x74,,
0.834228640000000,0x6F,,
0.834315200000000,0x63,,
0.834401920000000,0x6F,,
0.834488480000000,0x6C,,
0.834575200000000,0x20,,
0.834661920000000,0x77,,
0.834748480000000,0x69,,
0.834835200000000,0x74,,
0.834921760000000,0x68,,
0.835008480000000,0x20,,
0.835095040000000,0x43,,
0.835181760000000,0x52,,
0.835268320000000,0x43,,
0.835354880000000,0x0A,,
0.835441600000000,0x49,,
0.835528320000000,0x6E,,
0.835614880000000,0x74,,
0.835701600000000,0x72,,
0.835788320000000,0x6F,,
0.835874880000000,0x64,,
0.835961600000000,0x75,,
0.836048320000000,0x63,,
0.836134880000000,0x74,,
0.836221600000000,0x69,,
0.836308160000000,0x6F,,
0.836394720000000,0x6E,,
0.836481280000000,0x0A,,
0.836567840000000,0x0A,,
0.836654560000000,0x54,,
0.836741120000000,0x68,,
0.836827680000000,0x65,,
0.836914240000000,0x20,,
0.837000800000000,0x58,,
0.837087360000000,0x6D,,
0.837174080000000,0x6F,,
0.837260480000000,0x64,,
0.837347040000000,0x65,,
0.837433600000000,0x6D,,
0.837520320000000,0x20,,
0.837607040000000,0x70,,
0.837693600000000,0x72,,
0.837780160000000,0x6F,,
0.837866880000000,0x74,,
0.837953440000000,0x6F,,
0.838040160000000,0x63,,
0.838126720000000,0x6F,,
0.838213440000000,0x6C,,
0.838300000000000,0x20,,
0.838386720000000,0x77,,
0.838473280000000,0x61,,
0.838560000000000,0x73,,
0.838646880000000,0x20,,
0.838733600000000,0x63,,
0.838820320000000,0x72,,
0.838907040000000,0x65,,
0.838993760000000,0x61,,
0.839080320000000,0x74,,
0.839167040000000,0x65,,
0.839253600000000,0x64,,
0.839340000000000,0x20,,
0.839426560000000,0x79,,
0.839513120000000,0x65,,
0.839599840000000,0x61,,
0.839686400000000,0x72,,
0.839772960000000,0x73,,
0.839859520000000,0x20,,
0.839946080000000,0x61,,
0.840032640000000,0x67,,
0.840119200000000,0x6F,,
0.840205600000000,0x20,,
0.840292000000000,0x61,,
0.840378400000000,0x73,,
0.840464960000000,0x20,,
0.840551360000000,0x61,,
0.840637760000000,0x20,,
0.840724160000000,0x73,,
0.840810560000000,0x69,,
0.840897120000000,0x6D,,
0.840983680000000,0x70,,
0.841070240000000,0x6C,,
0.841156800000000,0x65,,
0.841243520000000,0x20,,
0.841330080000000,0x6D,,
0.841416640000000,0x65,,
0.841503200000000,0x61,,
0.841589760000000,0x6E,,
0.841676480000000,0x73,,
0.841763040000000,0x20,,
0.841849600000000,0x6F,,
0.841936160000000,0x66,,
0.842022880000000,0x20,,
0.842109440000000,0x68,,
0.842196000000000,0x61,,
0.842282560000000,0x76,,
0.842369280000000,0x69,,
0.842455840000000,0x6E,,
0.842542400000000,0x67,,
0.842628960000000,0x20,,
0.842715680000000,0x74,,
0.842802240000000,0x77,,
0.842888800000000,0x6F,,
0.842975360000000,0x20,,
0.843061920000000,0x63,,
0.843148640000000,0x6F,,
0.843235200000000,0x6D,,
0.843321760000000,0x70,,
0.843408320000000,0x75,,
0.843494880000000,0x74,,
0.843581440000000,0x65,,
0.843668000000000,0x72,,
0.843754560000000,0x73,,
0.843841280000000,0x20,,
0.843927840000000,0x74,,
0.844014560000000,0x61,,
0.844101280000000,0x6C,,
0.844188000000000,0x6B,,
0.844274560000000,0x20,,
0.844361280000000,0x38,,
0.849003200000000,0x01,,
0.849089760000000,0x02,,
0.849176480000000,0xFD,,
0.849263040000000,0x74,,
0.849349760000000,0x6F,,
0.849436160000000,0x20,,
0.849522720000000,0x65,,
0.849609280000000,0x61,,
0.849695840000000,0x63,,
0.849782400000000,0x68,,
0.849868960000000,0x20,,
0.849955680000000,0x6F,,
0.850042400000000,0x74,,
0.850128960000000,0x68,,
0.850215680000000,0x65,,
0.850302240000000,0x72,,
0.850388960000000,0x2E,,
0.850475680000000,0x20,,
0.850562240000000,0x57,,
0.850648960000000,0x69,,
0.850735680000000,0x74,,
0.850822240000000,0x68,,
0.850908960000000,0x20,,
0.850995680000000,0x69,,
0.851082240000000,0x74,,
0.851168960000000,0x73,,
0.851255520000000,0x20,,
0.851342240000000,0x68,,
0.851428800000000,0x61,,
0.851515520000000,0x6C,,
0.851602240000000,0x66,,
0.851688800000000,0x2D,,
0.851775520000000,0x64,,
0.851862080000000,0x75,,
0.851948640000000,0x70,,
0.852035200000000,0x6C,,
0.852121760000000,0x65,,
0.852208480000000,0x78,,
0.852295200000000,0x20,,
0.852381920000000,0x6D,,
0.852468480000000,0x6F,,
0.852555040000000,0x64,,
0.852641600000000,0x65,,
0.852728160000000,0x20,,
0.852814560000000,0x6F,,
0.852901120000000,0x66,,
0.852987680000000,0x20,,
0.853074240000000,0x6F,,
0.853160800000000,0x70,,
0.853247520000000,0x65,,
0.853334240000000,0x72,,
0.853420960000000,0x61,,
0.853507680000000,0x74,,
0.853594240000000,0x69,,
0.853680960000000,0x6F,,
0.853767680000000,0x6E,,
0.853854400000000,0x2C,,
0.853940960000000,0x20,,
0.854027680000000,0x31,,
0.854114240000000,0x32,,
0.854200960000000,0x38,,
0.854287520000000,0x2D,,
0.854374080000000,0x20,,
0.854460640000000,0x62,,
0.854547200000000,0x79,,
0.854633920000000,0x74,,
0.854720480000000,0x65,,
0.854807200000000,0x20,,
0.854893920000000,0x70,,
0.854980480000000,0x61,,
0.855067200000000,0x63,,
0.855153760000000,0x6B,,
0.855240480000000,0x65,,
0.855327040000000,0x74,,
0.855413760000000,0x73,,
0.855500480000000,0x2C,,
0.855587200000000,0x20,,
0.855673920000000,0x41,,
0.855760640000000,0x43,,
0.855847200000000,0x4B,,
0.855933920000000,0x2F,,
0.856020640000000,0x4E,,
0.856107200000000,0x41,,
0.856193760000000,0x43,,
0.856280320000000,0x4B,,
0.856367040000000,0x20,,
0.856453600000000,0x72,,
0.856540160000000,0x65,,
0.856626560000000,0x73,,
0.856712960000000,0x70,,
0.856799520000000,0x6F,,
0.856886080000000,0x6E,,
0.856972800000000,0x73,,
0.857059360000000,0x65,,
0.857145920000000,0x73,,
0.857232480000000,0x20,,
0.857319200000000,0x61,,
0.857405760000000,0x6E,,
0.857492480000000,0x64,,
0.857579040000000,0x20,,
0.857665760000000,0x43,,
0.857752320000000,0x52,,
0.857839040000000,0x43,,
0.857925760000000,0x20,,
0.858012320000000,0x64,,
0.858099040000000,0x61,,
0.858185600000000,0x74,,
0.858272320000000,0x61,,
0.858358880000000,0x20,,
0.858445600000000,0x63,,
0.858532320000000,0x68,,
0.858618880000000,0x65,,
0.858705440000000,0x63,,
0.858792000000000,0x6B,,
0.858878720000000,0x69,,
0.858965280000000,0x6E,,
0.859052000000000,0x67,,
0.859138560000000,0x2C,,
0.859225280000000,0x20,,
0.859312000000000,0x74,,
0.859398720000000,0x68,,
0.859485600000000,0x65,,
0.859572320000000,0x20,,
0.859659040000000,0x58,,
0.859745760000000,0x6D,,
0.859832480000000,0x6F,,
0.859919200000000,0x64,,
0.860005760000000,0x65,,
0.860092320000000,0x6D,,
0.860179040000000,0x20,,
0.860265600000000,0x70,,
0.860352320000000,0xB9,,
0.865056480000000,0x01,,
0.865143040000000,0x03,,
