Time [s],Value,Parity Error,Framing Error
3.527126560000000,0x01,,
3.527213120000000,0x01,,
3.527299680000000,0xFE,,
3.527386400000000,0x4C,,
3.527472960000000,0x6F,,
3.527559520000000,0x72,,
3.527646080000000,0x65,,
3.527732800000000,0x6D,,
3.527819360000000,0x20,,
3.527905920000000,0x69,,
3.527992480000000,0x70,,
3.528079200000000,0x73,,
3.528165920000000,0x75,,
3.528252640000000,0x6D,,
3.528339360000000,0x20,,
3.528425920000000,0x64,,
3.528512640000000,0x6F,,
3.528599200000000,0x6C,,
3.528685920000000,0x6F,,
3.528772640000000,0x72,,
3.528859360000000,0x20,,
3.528945920000000,0x73,,
3.529032480000000,0x69,,
3.529119040000000,0x74,,
3.529205600000000,0x20,,
3.529292160000000,0x61,,
3.529378720000000,0x6D,,
3.529465280000000,0x65,,
3.529551840000000,0x74,,
3.529638400000000,0x2C,,
3.529725120000000,0x20,,
3.529811680000000,0x63,,
3.529898400000000,0x6F,,
3.529985120000000,0x6E,,
3.530071680000000,0x73,,
3.530158400000000,0x65,,
3.530244960000000,0x63,,
3.530331680000000,0x74,,
3.530418240000000,0x65,,
3.530504800000000,0x74,,
3.530591520000000,0x75,,
3.530678240000000,0x72,,
3.530764800000000,0x20,,
3.530851520000000,0x61,,
3.530938400000000,0x64,,
3.531025120000000,0x69,,
3.531111840000000,0x70,,
3.531198560000000,0x69,,
3.531285280000000,0x73,,
3.531371840000000,0x63,,
3.531458560000000,0x69,,
3.531545280000000,0x6E,,
3.531632000000000,0x67,,
3.531718720000000,0x20,,
3.531805440000000,0x65,,
3.531892000000000,0x6C,,
3.531978560000000,0x69,,
3.532065280000000,0x74,,
3.532151840000000,0x2E,,
3.532238400000000,0x20,,
3.532325120000000,0x53,,
3.532411840000000,0x65,,
3.532498560000000,0x64,,
3.532585120000000,0x20,,
3.532671840000000,0x64,,
3.532758560000000,0x6F,,
3.532845280000000,0x20,,
3.532931840000000,0x65,,
3.533018560000000,0x69,,
3.533105280000000,0x75,,
3.533192000000000,0x73,,
3.533278560000000,0x6D,,
3.533365280000000,0x6F,,
3.533452000000000,0x64,,
3.533538720000000,0x20,,
3.533625280000000,0x74,,
3.533712000000000,0x65,,
3.533798720000000,0x6D,,
3.533885440000000,0x70,,
3.533972160000000,0x6F,,
3.534058720000000,0x72,,
3.534145440000000,0x20,,
3.534232160000000,0x0A,,
3.534318880000000,0x69,,
3.534405600000000,0x6E,,
3.534492320000000,0x63,,
3.534579040000000,0x69,,
3.534665600000000,0x64,,
3.534752320000000,0x69,,
3.534839040000000,0x64,,
3.534925760000000,0x75,,
3.535012320000000,0x6E,,
3.535099040000000,0x74,,
3.535185760000000,0x20,,
3.535272480000000,0x75,,
3.535359200000000,0x74,,
3.535445920000000,0x20,,
3.535532480000000,0x6C,,
3.535619200000000,0x61,,
3.535705920000000,0x62,,
3.535792640000000,0x6F,,
3.535879200000000,0x72,,
3.535965760000000,0x65,,
3.536052480000000,0x20,,
3.536139040000000,0x65,,
3.536225760000000,0x74,,
3.536312320000000,0x20,,
3.536398880000000,0x64,,
3.536485600000000,0x6F,,
3.536572320000000,0x6C,,
3.536659040000000,0x6F,,
3.536745600000000,0x72,,
3.536832480000000,0x65,,
3.536919040000000,0x20,,
3.537005600000000,0x6D,,
3.537092160000000,0x61,,
3.537178560000000,0x67,,
3.537264960000000,0x6E,,
3.537351520000000,0x61,,
3.537437920000000,0x20,,
3.537524480000000,0x61,,
3.537610880000000,0x6C,,
3.537697440000000,0x69,,
3.537784000000000,0x71,,
3.537870560000000,0x75,,
3.537957120000000,0x61,,
3.538043520000000,0x2E,,
